DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
1,13XX LINN ST,39.1099308902223,-84.5271767352546,WEST END,WEST END,5579,219017490,1,,BLACK,MALE,19,NONFATAL,07/18/2021 12:00:00 PM,JUL,000100,0,SUN,219017490,07/18/2021 12:01:00 AM,DISTRICT 1,,WEST END
3,18XX FIRST AV,39.1233246156239,-84.5791034579787,WEST PRICE HILL,WEST PRICE HILL,5578,219017407,1,,WHITE,FEMALE,31,FATAL,07/16/2021 12:00:00 PM,JUL,183500,18,FRI,219017407,07/16/2021 06:35:00 PM,DISTRICT 3,,WEST PRICE HILL
5,5XX RIDDLE RD,39.1352279649698,-84.5251964989157,CLIFTON,CUF,5577,219017373,1,,BLACK,MALE,23,NONFATAL,07/16/2021 12:00:00 PM,JUL,130000,13,FRI,219017373,07/16/2021 01:00:00 PM,DISTRICT 5,,CUF - HEIGHTS
2,34XX WOODBURN AV,39.1394944549946,-84.4755023827424,EVANSTON,EVANSTON,5576,219017333,1,,BLACK,MALE,23,NONFATAL,07/15/2021 12:00:00 PM,JUL,234400,23,THU,219017333,07/15/2021 11:44:00 PM,DISTRICT 2,,EVANSTON
3,27XX HARRISON AV,39.1422800901104,-84.5906575153722,WESTWOOD,WESTWOOD,5575,219017222,1,,BLACK,MALE,20,NONFATAL,07/14/2021 12:00:00 PM,JUL,192300,19,WED,219017222,07/14/2021 07:23:00 PM,DISTRICT 3,,WESTWOOD
5,53XX BAHAMA TE,39.1884407501569,-84.5665291908424,MOUNT AIRY,MT. AIRY,5574,219017210,1,,BLACK,MALE,16,NONFATAL,07/14/2021 12:00:00 PM,JUL,163900,16,WED,219017210,07/14/2021 04:39:00 PM,DISTRICT 5,,MOUNT AIRY
3,33XX GLENMORE AV,39.1497227033034,-84.6134415285866,WESTWOOD,WESTWOOD,5573,219017068,1,,BLACK,MALE,24,NONFATAL,07/13/2021 12:00:00 PM,JUL,020500,2,TUE,219017068,07/13/2021 02:05:00 AM,DISTRICT 3,,
3,26XX HARRISON AV,39.142402735252,-84.5881712888729,WESTWOOD,WESTWOOD,5572,219016807,1,,BLACK,MALE,59,NONFATAL,07/10/2021 12:00:00 PM,JUL,023500,2,SAT,219016807,07/10/2021 02:35:00 AM,DISTRICT 3,,WESTWOOD
5,53XX WINNESTE AV,39.1878447019176,-84.5142448561466,WINTON HILLS,WINTON HILLS,5571,219016695,1,,BLACK,MALE,19,FATAL,07/08/2021 12:00:00 PM,JUL,220700,22,THU,219016695,07/08/2021 10:07:00 PM,DISTRICT 5,,WINTON HILLS
1,8XX FINDLAY ST,39.115858539229,-84.5276267210836,WEST END,WEST END,5570,219016625,1,,BLACK,MALE,40,NONFATAL,07/08/2021 12:00:00 PM,JUL,041400,4,THU,219016625,07/08/2021 04:14:00 AM,DISTRICT 1,,WEST END
4,35XX LOSSING ST,39.1510480724593,-84.5096746565554,AVONDALE,AVONDALE,5569,219016623,1,,BLACK,MALE,21,FATAL,07/07/2021 12:00:00 PM,JUL,211000,21,WED,219016623,07/07/2021 09:10:00 PM,DISTRICT 4,,AVONDALE
1,16XX LINN ST,39.1150901888459,-84.5275266569732,WEST END,WEST END,5568,219016459,1,,BLACK,MALE,22,NONFATAL,07/06/2021 12:00:00 PM,JUL,140000,14,TUE,219016459,07/06/2021 02:00:00 PM,DISTRICT 1,,WEST END
3,16XX ATSON LN,39.1186466819447,-84.571632400983,EAST PRICE HILL,EAST PRICE HILL,5560,219016289,1,,BLACK,MALE,15,NONFATAL,07/04/2021 12:00:00 PM,JUL,174000,17,SUN,219016289,07/04/2021 05:40:00 PM,DISTRICT 3,,EAST PRICE HILL
,X W MEHRING WY,39.0964856954251,-84.5117105045852,CBD/RIVERFRONT,DOWNTOWN,5567,219016314,5,,BLACK,MALE,14,NONFATAL,07/04/2021 12:00:00 PM,JUL,224700,22,SUN,219016314,07/04/2021 10:47:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
,X W MEHRING WY,39.0965856954251,-84.5119605045852,CBD/RIVERFRONT,DOWNTOWN,5566,219016314,5,,BLACK,FEMALE,16,NONFATAL,07/04/2021 12:00:00 PM,JUL,224700,22,SUN,219016314,07/04/2021 10:47:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
,X W MEHRING WY,39.0961656954251,-84.5110705045852,CBD/RIVERFRONT,DOWNTOWN,5565,219016314,5,,BLACK,FEMALE,17,NONFATAL,07/04/2021 12:00:00 PM,JUL,224700,22,SUN,219016314,07/04/2021 10:47:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
,X W MEHRING WY,39.0957256954251,-84.5113505045852,CBD/RIVERFRONT,DOWNTOWN,5564,219016314,5,,BLACK,MALE,19,FATAL,07/04/2021 12:00:00 PM,JUL,224700,22,SUN,219016314,07/04/2021 10:47:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
,X W MEHRING WY,39.0964356954251,-84.5118805045852,CBD/RIVERFRONT,DOWNTOWN,5563,219016314,5,,BLACK,MALE,16,FATAL,07/04/2021 12:00:00 PM,JUL,224700,22,SUN,219016314,07/04/2021 10:47:00 PM,CENTRAL BUSINESS SECTION,,DOWNTOWN
3,33XX MEYER PL,39.1481126567001,-84.5911230887549,WESTWOOD,WESTWOOD,5562,219016299,1,,BLACK,MALE,22,NONFATAL,07/04/2021 12:00:00 PM,JUL,193000,19,SUN,219016299,07/04/2021 07:30:00 PM,DISTRICT 3,,WESTWOOD
